AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7138,HU - HU,08:25 - SYD / 17:45 - XIY | 10:30 - XIY / 12:20 - PEK,9152 - 595,FM - FM,14:05 - PEK | 16:15 - HGH / 13:35 - HGH | 16:00 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7238,HU - HU,08:25 - SYD / 17:45 - XIY | 19:55 - XIY / 22:00 - PEK,5130 - 9845,MU - MU,19:15 - PEK | 21:35 - PVG / 15:35 - SHA | 17:40 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7238,HU - HU,08:25 - SYD / 17:45 - XIY | 19:55 - XIY / 22:00 - PEK,563 - 9845,MU - MU,17:15 - PEK | 19:25 - PVG / 15:35 - SHA | 17:40 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7738,HU - HU,08:25 - SYD / 17:45 - XIY | 23:05 - XIY / 00:55 - PEK,5130 - 9845,MU - MU,19:15 - PEK | 21:35 - PVG / 15:35 - SHA | 17:40 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7738,HU - HU,08:25 - SYD / 17:45 - XIY | 23:05 - XIY / 00:55 - PEK,563 - 9845,MU - MU,17:15 - PEK | 19:25 - PVG / 15:35 - SHA | 17:40 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7138,HU - HU,08:25 - SYD / 17:45 - XIY | 10:30 - XIY / 12:20 - PEK,5130 - 9845,MU - MU,19:15 - PEK | 21:35 - PVG / 15:35 - SHA | 17:40 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7138,HU - HU,08:25 - SYD / 17:45 - XIY | 10:30 - XIY / 12:20 - PEK,563 - 9845,MU - MU,17:15 - PEK | 19:25 - PVG / 15:35 - SHA | 17:40 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7238,HU - HU,08:25 - SYD / 17:45 - XIY | 19:55 - XIY / 22:00 - PEK,5458 - 595,MU - FM,18:05 - PEK | 20:15 - HGH / 13:35 - HGH | 16:00 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7238,HU - HU,08:25 - SYD / 17:45 - XIY | 19:55 - XIY / 22:00 - PEK,5147 - 595,MU - FM,12:30 - PEK | 14:45 - HGH / 13:35 - HGH | 16:00 - HKG
AUD,493,136.42,629.42,SYDPEKHKG,api2.fly365.com,Economy,2017-05-25,2017-05-28,7994 - 7738,HU - HU,08:25 - SYD / 17:45 - XIY | 23:05 - XIY / 00:55 - PEK,5458 - 595,MU - FM,18:05 - PEK | 20:15 - HGH / 13:35 - HGH | 16:00 - HKG
