currency,base,taxes,fare,market,OTA,type,departDate,returnDate,departFlightNo,departAirlineCode,departRoute,returnFlightNo,returnAirlineCode,returnRoute
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,302 - 3109,CZ - CZ,21:45 - SYD / 05:25 - CAN | 14:00 - CAN / 17:10 - PEK,3114 - 301,CZ - CZ,21:30 - PEK / 01:00 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,302 - 324,CZ - CZ,21:45 - SYD / 05:25 - CAN | 13:00 - CAN / 16:15 - PEK,3100 - 301,CZ - CZ,18:30 - PEK / 21:55 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,302 - 324,CZ - CZ,21:45 - SYD / 05:25 - CAN | 13:00 - CAN / 16:15 - PEK,3110 - 301,CZ - CZ,19:30 - PEK / 22:55 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,302 - 324,CZ - CZ,21:45 - SYD / 05:25 - CAN | 13:00 - CAN / 16:15 - PEK,3114 - 301,CZ - CZ,21:30 - PEK / 01:00 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,302 - 3999,CZ - CZ,21:45 - SYD / 05:25 - CAN | 15:00 - CAN / 18:15 - PEK,3100 - 301,CZ - CZ,18:30 - PEK / 21:55 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,302 - 3999,CZ - CZ,21:45 - SYD / 05:25 - CAN | 15:00 - CAN / 18:15 - PEK,3110 - 301,CZ - CZ,19:30 - PEK / 22:55 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,302 - 3999,CZ - CZ,21:45 - SYD / 05:25 - CAN | 15:00 - CAN / 18:15 - PEK,3114 - 301,CZ - CZ,21:30 - PEK / 01:00 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,326 - 3107,CZ - CZ,10:45 - SYD / 18:30 - CAN | 21:00 - CAN / 00:15 - PEK,3100 - 301,CZ - CZ,18:30 - PEK / 21:55 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,326 - 3165,CZ - CZ,10:45 - SYD / 18:30 - CAN | 22:00 - CAN / 01:10 - PEK,3100 - 301,CZ - CZ,18:30 - PEK / 21:55 - CAN | 08:25 - CAN / 19:40 - SYD
INR,2876.25,1843.125,4719.375,SYDPEK,www.via.id,N/A,2017-05-25,2017-05-29,326 - 3165,CZ - CZ,10:45 - SYD / 18:30 - CAN | 22:00 - CAN / 01:10 - PEK,3110 - 301,CZ - CZ,19:30 - PEK / 22:55 - CAN | 08:25 - CAN / 19:40 - SYD
